time,station,land,year,month
1910.29,-0.34,-0.43,1910,4
1910.38,-0.25,-0.34,1910,5
1910.46,-0.34,-0.38,1910,6
1910.54,-0.22,-0.34,1910,7
1910.63,-0.15,-0.37,1910,8
1910.71,-0.11,-0.39,1910,9
1910.79,-0.33,-0.41,1910,10
1910.88,-0.53,-0.57,1910,11
1910.96,-0.65,-0.67,1910,12
1911.04,-0.63,-0.62,1911,1
1911.13,-0.66,-0.57,1911,2
1911.21,-0.61,-0.6,1911,3
1911.29,-0.49,-0.54,1911,4
1911.38,-0.39,-0.51,1911,5
1911.46,-0.47,-0.51,1911,6
1911.54,-0.24,-0.42,1911,7
1911.63,-0.32,-0.44,1911,8
1911.71,-0.3,-0.4,1911,9
1911.79,-0.23,-0.26,1911,10
1911.88,-0.18,-0.21,1911,11
1911.96,-0.26,-0.21,1911,12
1912.04,-0.22,-0.25,1912,1
1912.13,-0.14,-0.14,1912,2
1912.21,-0.5,-0.38,1912,3
1912.29,-0.31,-0.17,1912,4
1912.38,-0.25,-0.22,1912,5
1912.46,-0.21,-0.24,1912,6
1912.54,-0.49,-0.43,1912,7
1912.63,-0.59,-0.55,1912,8
1912.71,-0.48,-0.58,1912,9
1912.79,-0.5,-0.58,1912,10
1912.88,-0.46,-0.39,1912,11
1912.96,-0.36,-0.43,1912,12
1913.04,-0.42,-0.4,1913,1
1913.13,-0.47,-0.44,1913,2
1913.21,-0.53,-0.43,1913,3
1913.29,-0.33,-0.39,1913,4
1913.38,-0.57,-0.44,1913,5
1913.46,-0.53,-0.45,1913,6
1913.54,-0.25,-0.36,1913,7
1913.63,-0.19,-0.34,1913,8
1913.71,-0.16,-0.34,1913,9
1913.79,-0.26,-0.32,1913,10
1913.88,-0.17,-0.2,1913,11
1913.96,0.03,-0.02,1913,12
1914.04,0.16,0.05,1914,1
1914.13,-0.06,-0.1,1914,2
1914.21,-0.1,-0.24,1914,3
1914.29,-0.21,-0.3,1914,4
1914.38,-0.04,-0.21,1914,5
1914.46,-0.1,-0.25,1914,6
1914.54,-0.23,-0.23,1914,7
1914.63,-0.11,-0.16,1914,8
1914.71,-0.15,-0.16,1914,9
1914.79,0.12,-0.03,1914,10
1914.88,-0.3,-0.15,1914,11
1914.96,-0.16,-0.04,1914,12
1915.04,-0.21,-0.2,1915,1
1915.13,-0.02,-0.04,1915,2
1915.21,-0.19,-0.1,1915,3
1915.29,-0.04,0.06,1915,4
1915.38,-0.21,-0.06,1915,5
1915.46,-0.26,-0.22,1915,6
1915.54,-0.04,-0.13,1915,7
1915.63,-0.23,-0.22,1915,8
1915.71,-0.03,-0.2,1915,9
1915.79,-0.07,-0.24,1915,10
1915.88,-0.01,-0.13,1915,11
1915.96,-0.17,-0.21,1915,12
1916.04,-0.1,-0.12,1916,1
1916.13,-0.13,-0.14,1916,2
1916.21,-0.44,-0.28,1916,3
1916.29,-0.25,-0.3,1916,4
1916.38,-0.41,-0.35,1916,5
1916.46,-0.52,-0.49,1916,6
1916.54,-0.36,-0.37,1916,7
1916.63,-0.21,-0.28,1916,8
1916.71,-0.24,-0.36,1916,9
1916.79,-0.29,-0.34,1916,10
1916.88,-0.47,-0.46,1916,11
1916.96,-0.79,-0.81,1916,12
1917.04,-0.48,-0.57,1917,1
1917.13,-0.68,-0.63,1917,2
1917.21,-0.81,-0.63,1917,3
1917.29,-0.57,-0.55,1917,4
1917.38,-0.77,-0.55,1917,5
1917.46,-0.41,-0.43,1917,6
1917.54,-0.04,-0.26,1917,7
1917.63,-0.37,-0.23,1917,8
1917.71,-0.34,-0.22,1917,9
1917.79,-0.53,-0.44,1917,10
1917.88,-0.4,-0.34,1917,11
1917.96,-0.92,-0.67,1917,12
1918.04,-0.7,-0.48,1918,1
1918.13,-0.56,-0.34,1918,2
1918.21,-0.48,-0.25,1918,3
1918.29,-0.5,-0.44,1918,4
1918.38,-0.64,-0.43,1918,5
1918.46,-0.37,-0.36,1918,6
1918.54,-0.49,-0.32,1918,7
1918.63,-0.5,-0.32,1918,8
1918.71,-0.2,-0.17,1918,9
1918.79,0.01,-0.06,1918,10
1918.88,-0.27,-0.12,1918,11
1918.96,-0.36,-0.3,1918,12
1919.04,-0.28,-0.2,1919,1
1919.13,-0.17,-0.23,1919,2
1919.21,-0.13,-0.21,1919,3
1919.29,-0.09,-0.12,1919,4
1919.38,-0.18,-0.28,1919,5
1919.46,-0.13,-0.36,1919,6
1919.54,-0.03,-0.29,1919,7
1919.63,-0.11,-0.33,1919,8
1919.71,-0.26,-0.25,1919,9
1919.79,-0.14,-0.2,1919,10
1919.88,-0.49,-0.41,1919,11
1919.96,-0.34,-0.42,1919,12
1920.04,-0.17,-0.25,1920,1
1920.13,-0.33,-0.27,1920,2
1920.21,-0.22,-0.12,1920,3
1920.29,-0.1,-0.24,1920,4
1920.38,-0.31,-0.27,1920,5
1920.46,-0.32,-0.36,1920,6
1920.54,-0.19,-0.3,1920,7
1920.63,-0.22,-0.26,1920,8
1920.71,-0.21,-0.21,1920,9
1920.79,-0.42,-0.27,1920,10
1920.88,-0.31,-0.27,1920,11
1920.96,-0.53,-0.47,1920,12
1921.04,-0.05,-0.05,1921,1
1921.13,-0.14,-0.18,1921,2
1921.21,-0.1,-0.22,1921,3
1921.29,-0.22,-0.29,1921,4
1921.38,-0.25,-0.3,1921,5
1921.46,-0.09,-0.27,1921,6
1921.54,0.01,-0.14,1921,7
1921.63,-0.45,-0.26,1921,8
1921.71,-0.11,-0.18,1921,9
1921.79,-0.08,-0.03,1921,10
1921.88,-0.29,-0.14,1921,11
1921.96,-0.21,-0.17,1921,12
1922.04,-0.45,-0.34,1922,1
1922.13,-0.49,-0.44,1922,2
1922.21,-0.35,-0.15,1922,3
1922.29,-0.11,-0.23,1922,4
1922.38,-0.39,-0.33,1922,5
1922.46,-0.3,-0.3,1922,6
1922.54,-0.08,-0.27,1922,7
1922.63,-0.23,-0.33,1922,8
1922.71,-0.18,-0.35,1922,9
1922.79,-0.24,-0.32,1922,10
1922.88,-0.09,-0.14,1922,11
1922.96,-0.2,-0.19,1922,12
1923.04,-0.27,-0.27,1923,1
1923.13,-0.31,-0.39,1923,2
1923.21,-0.25,-0.34,1923,3
1923.29,-0.49,-0.4,1923,4
1923.38,-0.34,-0.33,1923,5
1923.46,-0.37,-0.29,1923,6
1923.54,-0.49,-0.31,1923,7
1923.63,-0.43,-0.34,1923,8
1923.71,-0.33,-0.31,1923,9
1923.79,-0.14,-0.14,1923,10
1923.88,-0.05,-0.02,1923,11
1923.96,-0.06,-0.03,1923,12
1924.04,-0.27,-0.22,1924,1
1924.13,-0.37,-0.23,1924,2
1924.21,-0.17,-0.08,1924,3
1924.29,-0.43,-0.3,1924,4
1924.38,-0.29,-0.18,1924,5
1924.46,-0.23,-0.26,1924,6
1924.54,-0.21,-0.29,1924,7
1924.63,-0.22,-0.36,1924,8
1924.71,-0.1,-0.32,1924,9
1924.79,-0.21,-0.35,1924,10
1924.88,-0.1,-0.2,1924,11
1924.96,-0.39,-0.43,1924,12
1925.04,-0.47,-0.37,1925,1
1925.13,-0.41,-0.39,1925,2
1925.21,-0.31,-0.27,1925,3
1925.29,-0.18,-0.26,1925,4
1925.38,-0.33,-0.29,1925,5
1925.46,-0.42,-0.33,1925,6
1925.54,-0.38,-0.27,1925,7
1925.63,-0.21,-0.21,1925,8
1925.71,-0.36,-0.2,1925,9
1925.79,-0.3,-0.17,1925,10
1925.88,-0.01,0.06,1925,11
1925.96,0.17,0.06,1925,12
1926.04,0.31,0.21,1926,1
1926.13,0.23,0.03,1926,2
1926.21,0.2,0.12,1926,3
1926.29,-0.09,-0.12,1926,4
1926.38,-0.32,-0.23,1926,5
1926.46,-0.23,-0.26,1926,6
1926.54,-0.2,-0.27,1926,7
1926.63,0.03,-0.13,1926,8
1926.71,0.01,-0.14,1926,9
1926.79,-0.1,-0.11,1926,10
1926.88,0.01,-0.06,1926,11
1926.96,-0.27,-0.29,1926,12
1927.04,-0.14,-0.27,1927,1
1927.13,-0.1,-0.17,1927,2
1927.21,-0.37,-0.38,1927,3
1927.29,-0.3,-0.3,1927,4
1927.38,-0.28,-0.26,1927,5
1927.46,-0.26,-0.27,1927,6
1927.54,-0.05,-0.19,1927,7
1927.63,-0.29,-0.24,1927,8
1927.71,-0.05,-0.12,1927,9
1927.79,0.17,-0.01,1927,10
1927.88,0.09,-0.05,1927,11
1927.96,-0.24,-0.33,1927,12
1928.04,0.08,-0.02,1928,1
1928.13,0.01,-0.09,1928,2
1928.21,-0.07,-0.25,1928,3
1928.29,-0.09,-0.28,1928,4
1928.38,-0.28,-0.3,1928,5
1928.46,-0.52,-0.39,1928,6
1928.54,-0.04,-0.19,1928,7
1928.63,-0.03,-0.23,1928,8
1928.71,0.02,-0.21,1928,9
1928.79,-0.04,-0.19,1928,10
1928.88,0.11,-0.09,1928,11
1928.96,-0.02,-0.16,1928,12
1929.04,-0.24,-0.45,1929,1
1929.13,-0.45,-0.58,1929,2
1929.21,-0.33,-0.33,1929,3
1929.29,-0.4,-0.41,1929,4
1929.38,-0.34,-0.38,1929,5
1929.46,-0.43,-0.43,1929,6
1929.54,-0.4,-0.36,1929,7
1929.63,-0.38,-0.33,1929,8
1929.71,-0.22,-0.25,1929,9
1929.79,0.0,-0.15,1929,10
1929.88,0.0,-0.11,1929,11
1929.96,-0.6,-0.54,1929,12
1930.04,-0.22,-0.3,1930,1
1930.13,-0.16,-0.26,1930,2
1930.21,-0.06,-0.1,1930,3
1930.29,-0.21,-0.24,1930,4
1930.38,-0.14,-0.24,1930,5
1930.46,-0.2,-0.22,1930,6
1930.54,-0.22,-0.21,1930,7
1930.63,-0.17,-0.15,1930,8
1930.71,-0.16,-0.15,1930,9
1930.79,-0.28,-0.12,1930,10
1930.88,0.12,0.18,1930,11
1930.96,-0.01,-0.05,1930,12
1931.04,-0.07,-0.1,1931,1
1931.13,-0.24,-0.2,1931,2
1931.21,-0.06,-0.1,1931,3
1931.29,-0.23,-0.23,1931,4
1931.38,-0.19,-0.2,1931,5
